,Ticker,Volatility,Return 13Y,Cluster
109,GLW,0.0188839084154301,0.5567485477675292,0
110,CSGP,0.0194721847528915,19.68402399106052,0
111,COST,0.012877311224801,10.110587759387055,0
112,CTRA,0.0242794196886383,1.2080900463300477,1
113,CCI,0.0149689958773492,1.9081040309628985,0
114,CSX,0.0176861200141809,5.386205254977842,0
115,CMI,0.0186872537065125,4.103749772755698,0
116,CVS,0.0151479937037457,1.39417829534386,0
117,DHR,0.0144139232013679,8.160214198149601,0
118,DRI,0.0206283837842428,4.251466228685404,1
119,DVA,0.0182129265315904,2.496662394443274,0
120,DECK,0.0269884214388741,18.3280963514222,1
121,DE,0.0178849715336648,6.13289306674366,0
122,DAL,0.0256870108642721,2.5855613711932395,1
123,DVN,0.0290843807837301,-0.4083844923911809,1
124,DXCM,0.0296866775192475,56.98597675463532,2
