,Ticker,Volatility,Volume,Cluster
159,EXPD,0.0154752211289973,1407014.3100511073,0
160,EXR,0.0164388314741783,941313.3730834752,0
161,XOM,0.0160323631487111,17579802.75411698,0
162,FFIV,0.0216635938354147,1158785.34923339,1
163,FDS,0.0156456172249846,309559.05735377624,0
164,FICO,0.0215576897059497,231983.5604770017,1
165,FAST,0.0169588054659338,4437188.8131743325,0
166,FRT,0.0169476975144896,495869.4207836457,0
167,FDX,0.0187852138545112,2280825.241340148,0
168,FIS,0.0171299539772476,2695766.581487791,0
169,FITB,0.0223834626342633,8227661.158432709,1
170,FSLR,0.033702883330255,2826281.26064736,1
171,FE,0.0152392988452441,3946687.5638841568,0
172,FI,0.0149140349367184,3250676.206700738,0
173,FMC,0.0189213960181213,1219174.07524134,0
174,F,0.0215344658796024,53678128.93242476,1
175,FTNT,0.0261229971324029,8892703.69108461,1
176,BEN,0.0195232336458243,3065465.161839864,0
177,FCX,0.0317166689993632,21233384.86655309,1
178,GRMN,0.0172510479048526,1176246.8199886428,0
179,IT,0.0177712463843699,516041.1413969336,0
180,GE,0.019824003021335,11737601.387847813,0
181,GEN,0.020947523149588,7243969.9318568995,1
182,GD,0.014012045476117,1563436.1442362294,0
183,GIS,0.0120935618518194,3948520.584894946,0
184,GPC,0.0153716681347503,832858.886996025,0
185,GILD,0.0174263623761748,11434440.885860307,0
186,GPN,0.0191062769970983,1623532.5667234526,0
187,GL,0.0151608686024888,769927.8889835321,0
188,GS,0.0181501689247864,4023005.962521295,0
189,HAL,0.0273884385488525,12129688.47245883,1
190,HIG,0.0205048996639662,3686134.894946053,1
191,HAS,0.0189658089066001,1388385.4911981828,0
192,DOC,0.0177147385863425,3662145.169505962,0
193,HSIC,0.0152006986298615,1297267.6703577512,0
194,HSY,0.0127014409646312,1165362.010221465,0
195,HES,0.0259058210346967,3320645.996592845,1
196,HOLX,0.0177904068818757,2449644.548551959,0
197,HD,0.0147582594970104,6489104.514480409,0
198,HON,0.0145997737740172,3428195.9471890973,0
199,HRL,0.0128436961936016,2183574.332765474,0
200,HST,0.0212070568178831,8022827.484383873,1
201,HPQ,0.0214900054287987,23045553.34469052,1
202,HUBB,0.0164620255530035,307367.667802385,0
203,HUM,0.0185646405926413,1379159.8523566157,0
204,HBAN,0.0216148840965876,12601409.454855196,1
205,IBM,0.0140035816731625,4994719.47274276,0
206,IEX,0.014945155984434,394923.76490630326,0
207,IDXX,0.0183353918920135,590536.0874503123,0
208,ITW,0.014812177880054,1882926.490630324,0
209,INCY,0.0265417088126261,1615261.5843270868,1
210,PODD,0.0259661476495599,529903.634298694,1
211,INTC,0.0190754933709536,36479375.35491198,0
212,ICE,0.0151320224959281,3278777.910278251,0
213,IFF,0.0168552148050718,936642.3906871096,0
214,IP,0.0190252562990308,3854840.9750141967,0
215,IPG,0.0207796827289564,4893958.20556502,1
216,INTU,0.0183836573182824,1859203.0380465644,0
217,ISRG,0.0202106673704591,2958679.4434980126,0
218,IVZ,0.0232666650105763,4289001.476433844,1
219,IRM,0.0179001989025485,1969825.9375354915,0
220,JBHT,0.0164087224961079,924158.3759227712,0
221,JBL,0.0229780031925932,2230024.332765474,1
222,JKHY,0.0139291173378698,452297.58659852354,0
223,J,0.0178684398934365,1206012.487791028,0
224,JNJ,0.0106229722968896,8788027.058489494,0
225,JCI,0.0160207829823672,5156097.076944917,0
226,JPM,0.0176779033557384,20001582.396365702,0
227,JNPR,0.0198868047517071,5559081.516183986,0
228,K,0.0122443600436819,2392984.039750142,0
229,KDP,0.0196071429996547,3229524.758659852,0
230,KEY,0.0236581295200962,12211402.924474731,1
231,KMB,0.0115516221970902,2054668.1899488927,0
232,KIM,0.0203128911201924,4160922.430437252,0
233,KLAC,0.022567192228272,1791005.820556502,1
234,KR,0.0164743195511232,9542049.119818283,0
235,LHX,0.0161600269033314,1018423.5377626348,0
236,LH,0.0154029438332697,973874.5434412266,0
237,LRCX,0.0240430990068688,22035834.75298126,1
238,LVS,0.0248804843384342,8626483.702441795,1
239,LDOS,0.0176577433203504,1011036.6800113572,0
240,LEN,0.0237825440606962,3752701.4375354913,1
241,LLY,0.0154436714731765,5070127.172061329,0
242,LIN,0.013725863399625,1626430.834752981,0
243,LYV,0.0242683603055528,1678599.4037478706,1
